Player_name,Player_url,Nation,Pos,Age,MP,Starts,Min,Team
Eiran Cashin,https://fbref.com/en/players/f557c3b8/Eiran-Cashin,IRL,DF, 22,2,0,20,Brighton
Jakub Moder,https://fbref.com/en/players/f230bc30/Jakub-Moder,POL,MF, 25,4,0,11,Brighton
Jeremy Sarmiento,https://fbref.com/en/players/ac0d576d/Jeremy-Sarmiento,ECU,MF, 22,1,0,9,Brighton
Harry Howell,https://fbref.com/en/players/d8a7e52c/Harry-Howell,ENG,FW, 15,1,0,7,Brighton
Milos Kerkez,https://fbref.com/en/players/0ad53bdc/Milos-Kerkez,HUN,DF, 20,38,38,3336,Bournemouth
Antoine Semenyo,https://fbref.com/en/players/efd2ec23/Antoine-Semenyo,GHA,FW, 24,37,36,3203,Bournemouth
Illia Zabarnyi,https://fbref.com/en/players/88968486/Illia-Zabarnyi,UKR,DF, 21,36,35,3109,Bournemouth
Lewis Cook,https://fbref.com/en/players/2afc7272/Lewis-Cook,ENG,"MF,DF", 27,36,32,2978,Bournemouth
Kepa Arrizabalaga,https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga,ESP,GK, 29,31,31,2790,Bournemouth
Justin Kluivert,https://fbref.com/en/players/4c3a6744/Justin-Kluivert,NED,MF, 25,34,29,2340,Bournemouth
Evanilson,https://fbref.com/en/players/6f3cc2fe/Evanilson,BRA,FW, 24,31,28,2319,Bournemouth
Ryan Christie,https://fbref.com/en/players/26ce2263/Ryan-Christie,SCO,MF, 29,29,27,2117,Bournemouth
Dean Huijsen,https://fbref.com/en/players/87278bce/Dean-Huijsen,ESP,DF, 19,32,26,2427,Bournemouth
Dango Ouattara,https://fbref.com/en/players/2f9e4435/Dango-Ouattara,BFA,FW, 22,32,21,2005,Bournemouth
